K	plain	plain.gz	.unik	.unik.cpt	.unik.ungz	.unik.cpt.ungz	plain.gz(%)	.unik(%)	.unik.cpt(%)	.unik.ungz(%)	.unik.cpt.ungz(%)
1	8	78	64	60	64	36	975.0	800.0	750.0	800.0	450.0
3	256	177	157	119	544	96	69.1	61.3	46.5	212.5	37.5
5	6144	2090	2266	1600	8224	2080	34.0	36.9	26.0	133.9	33.9
7	131072	40071	41952	32843	131104	32800	30.6	32.0	25.1	100.0	25.0
9	2535880	728000	791360	649750	2028736	760796	28.7	31.2	25.6	80.0	30.0
11	24982416	6195093	7854852	6235047	16654976	6245636	24.8	31.4	25.0	66.7	25.0
13	63603260	12938560	19010526	16100359	36344752	18172392	20.3	29.9	25.3	57.1	28.6
15	82815520	14688542	24875757	20664113	41407792	20703912	17.7	30.0	25.0	50.0	25.0
17	94489740	15859896	27256437	23771818	41995472	26247182	16.8	28.8	25.2	44.4	27.8
19	105166800	16014508	27865911	26239038	42066752	26291732	15.2	26.5	24.9	40.0	25.0
21	115731880	16238959	19733200	12276690	42084352	31563272	14.0	17.1	10.6	36.4	27.3
23	126283440	16116082	18106953	13726095	42094512	31570892	12.8	14.3	10.9	33.3	25.0
25	136835140	16374329	14144355	12289658	42103152	36840262	12.0	10.3	9.0	30.8	26.9
27	147387520	16228116	15803487	13736843	42110752	36846912	11.0	10.7	9.3	28.6	25.0
29	157940460	16382443	12295745	12295745	42117488	42117488	10.4	7.8	7.8	26.7	26.7
31	168494528	16235781	13750442	13750442	42123664	42123664	9.6	8.2	8.2	25.0	25.0
