K	plain	.gz	.unik	.gz(%)	.unik(%)
1	8	64	69	800.0	862.5
3	256	159	160	62.1	62.5
5	6144	2070	2267	33.7	36.9
7	131072	40153	42178	30.6	32.2
9	2596420	744013	811277	28.7	31.2
11	35092056	8862922	11083277	25.3	31.6
13	107877000	22057558	32476722	20.4	30.1
15	142791328	25348131	43253150	17.8	30.3
17	163085652	27351927	47477859	16.8	29.1
19	181600840	27560992	47963931	15.2	26.4
21	199931204	27939876	34248156	14.0	17.1
23	218238336	27757535	30860501	12.7	14.1
25	236543320	28206395	24413804	11.9	10.3
27	254849280	28019791	27276395	11.0	10.7
29	273158820	28261557	21435152	10.3	7.8
31	291473216	28052530	23774695	9.6	8.2
